agent,game_num,score,record,mean_score
DQN,1,0,0,0.000
Random,1,0,0,0.000
DQN,2,0,0,0.000
Random,2,0,0,0.000
DQN,3,0,0,0.000
Random,3,0,0,0.000
DQN,4,0,0,0.000
DQN,5,0,0,0.000
Random,4,0,0,0.000
DQN,6,0,0,0.000
DQN,7,0,0,0.000
DQN,8,0,0,0.000
DQN,9,0,0,0.000
A*,1,26,26,26.000
Random,5,0,0,0.000
DQN,10,0,0,0.000
DQN,11,0,0,0.000
Random,6,0,0,0.000
Random,7,0,0,0.000
DQN,12,0,0,0.000
Random,8,0,0,0.000
DQN,13,1,1,0.077
Random,9,0,0,0.000
Random,10,0,0,0.000
Random,11,0,0,0.000
DQN,14,0,1,0.071
Random,12,0,0,0.000
Random,13,0,0,0.000
DQN,15,0,1,0.067
Random,14,0,0,0.000
DQN,16,0,1,0.062
Random,15,0,0,0.000
DQN,17,0,1,0.059
BFS,1,46,46,46.000
DQN,18,0,1,0.056
Random,16,0,0,0.000
DQN,19,0,1,0.053
Random,17,0,0,0.000
Random,18,0,0,0.000
DQN,20,0,1,0.050
DQN,21,0,1,0.048
A*,2,51,51,38.500
BFS,2,27,46,36.500
Random,19,0,0,0.000
Random,20,1,1,0.050
Random,21,0,1,0.048
Random,22,0,1,0.045
Random,23,0,1,0.043
DQN,22,0,1,0.045
Random,24,0,1,0.042
DQN,23,0,1,0.043
Random,25,1,1,0.080
Random,26,0,1,0.077
Random,27,0,1,0.074
Random,28,0,1,0.071
Random,29,0,1,0.069
DQN,24,0,1,0.042
DQN,25,0,1,0.040
DQN,26,0,1,0.038
Random,30,0,1,0.067
DQN,27,1,1,0.074
Random,31,0,1,0.065
DQN,28,3,3,0.179
DQN,29,0,3,0.172
Random,32,0,1,0.062
Random,33,0,1,0.061
Random,34,0,1,0.059
Random,35,0,1,0.057
Random,36,0,1,0.056
A*,3,57,57,44.667
DQN,30,0,3,0.167
Random,37,0,1,0.054
DQN,31,1,3,0.194
DQN,32,0,3,0.188
Random,38,0,1,0.053
DQN,33,1,3,0.212
BFS,3,61,61,44.667
Random,39,0,1,0.051
Random,40,0,1,0.050
DQN,34,1,3,0.235
Random,41,0,1,0.049
Random,42,0,1,0.048
Random,43,0,1,0.047
Random,44,0,1,0.045
DQN,35,0,3,0.229
Random,45,0,1,0.044
DQN,36,1,3,0.250
Random,46,1,1,0.065
Random,47,1,1,0.085
DQN,37,1,3,0.270
Random,48,1,1,0.104
DQN,38,1,3,0.289
DQN,39,0,3,0.282
BFS,4,39,61,43.250
Random,49,1,1,0.122
DQN,40,0,3,0.275
Random,50,0,1,0.120
DQN,41,1,3,0.293
Random,51,1,1,0.137
Random,52,1,1,0.154
DQN,42,0,3,0.286
Random,53,0,1,0.151
A*,4,57,57,47.750
Random,54,0,1,0.148
Random,55,0,1,0.145
DQN,43,0,3,0.279
DQN,44,0,3,0.273
DQN,45,1,3,0.289
Random,56,0,1,0.143
Random,57,1,1,0.158
Random,58,1,1,0.172
DQN,46,1,3,0.304
Random,59,0,1,0.169
Random,60,0,1,0.167
DQN,47,2,3,0.340
BFS,5,43,61,43.200
DQN,48,0,3,0.333
DQN,49,0,3,0.327
Random,61,0,1,0.164
Random,62,0,1,0.161
Random,63,0,1,0.159
Random,64,0,1,0.156
DQN,50,1,3,0.340
Random,65,0,1,0.154
Random,66,0,1,0.152
Random,67,0,1,0.149
DQN,51,1,3,0.353
Random,68,0,1,0.147
DQN,52,0,3,0.346
Random,69,0,1,0.145
A*,5,64,64,51.000
Random,70,0,1,0.143
DQN,53,2,3,0.377
Random,71,0,1,0.141
BFS,6,61,61,46.167
Random,72,0,1,0.139
Random,73,0,1,0.137
DQN,54,0,3,0.370
Random,74,1,1,0.149
Random,75,1,1,0.160
Random,76,1,1,0.171
DQN,55,0,3,0.364
Random,77,0,1,0.169
DQN,56,1,3,0.375
DQN,57,0,3,0.368
Random,78,0,1,0.167
DQN,58,1,3,0.379
Random,79,0,1,0.165
Random,80,0,1,0.163
Random,81,0,1,0.160
Random,82,0,1,0.159
DQN,59,3,3,0.424
DQN,60,0,3,0.417
Random,83,0,1,0.157
Random,84,0,1,0.155
A*,6,47,64,50.333
DQN,61,1,3,0.426
Random,85,0,1,0.153
DQN,62,1,3,0.435
DQN,63,0,3,0.429
Random,86,0,1,0.151
BFS,7,50,61,46.714
Random,87,0,1,0.149
DQN,64,2,3,0.453
Random,88,0,1,0.148
DQN,65,1,3,0.462
DQN,66,1,3,0.470
Random,89,0,1,0.146
BFS,8,23,61,43.750
DQN,67,1,3,0.478
Random,90,0,1,0.144
Random,91,0,1,0.143
Random,92,0,1,0.141
Random,93,0,1,0.140
DQN,68,2,3,0.500
Random,94,0,1,0.138
Random,95,0,1,0.137
Random,96,0,1,0.135
Random,97,0,1,0.134
DQN,69,2,3,0.522
Random,98,0,1,0.133
A*,7,56,64,51.143
Random,99,0,1,0.131
Random,100,0,1,0.130
DQN,70,3,3,0.557
DQN,71,0,3,0.549
Random,101,0,1,0.129
DQN,72,0,3,0.542
DQN,73,0,3,0.534
Random,102,0,1,0.127
Random,103,0,1,0.126
DQN,74,0,3,0.527
Random,104,0,1,0.125
Random,105,0,1,0.124
Random,106,0,1,0.123
BFS,9,50,61,44.444
